iter	Logloss
0	0.6637804373
1	0.6363637496
2	0.6125030864
3	0.598332896
4	0.580467968
5	0.5669924505
6	0.5536743994
7	0.5422538705
8	0.5331603243
9	0.5268978889
10	0.5202135705
11	0.5132177098
12	0.5073509995
13	0.4995799508
14	0.4944812662
15	0.489619733
16	0.4860423947
17	0.4827458734
18	0.4801034387
19	0.4766013909
20	0.472961149
21	0.4692443017
22	0.4670103596
23	0.4639392256
24	0.4599074452
25	0.457162178
26	0.4539514658
27	0.4502903945
28	0.4483190005
29	0.4462239791
30	0.4447464716
31	0.4430177304
32	0.4408673483
33	0.4379574177
34	0.4356989785
35	0.432820984
36	0.4313596003
37	0.4297692954
38	0.4282003044
39	0.4268094709
40	0.4253499557
41	0.4234528141
42	0.4217057001
43	0.4205904937
44	0.4182250008
45	0.4163848116
46	0.4153586321
47	0.4143335252
48	0.4127406252
49	0.4117349292
50	0.4107355996
51	0.4099163998
52	0.4089874475
53	0.4076243982
54	0.4062875069
55	0.4061797611
56	0.4049922052
57	0.403332388
58	0.4020129007
59	0.4009238176
60	0.3998911678
61	0.3990414159
62	0.3984948675
63	0.3983152913
64	0.3971521979
65	0.3954909967
66	0.3950220917
67	0.3937595912
68	0.3927145891
69	0.3914014336
70	0.3901587938
71	0.3896784707
72	0.3881632833
73	0.3872864392
74	0.3863429201
75	0.3851154007
76	0.3845952871
77	0.3833710893
78	0.3820748881
79	0.381487096
80	0.3802770498
81	0.3795926879
82	0.3788935516
83	0.3777476892
84	0.3769683492
85	0.3760206434
86	0.3749000048
87	0.3741009425
88	0.3733126063
89	0.3724781478
90	0.3711607364
91	0.3702754845
92	0.3696462757
93	0.3684837013
94	0.3676123933
95	0.3665598482
96	0.3656978131
97	0.3650779811
98	0.3636749683
99	0.3621419617
100	0.3615401564
101	0.3601690106
102	0.3596068921
103	0.3585422023
104	0.3575170608
105	0.3568994431
106	0.355647046
107	0.3549648294
108	0.354141443
109	0.353577629
110	0.3529610493
111	0.352275338
112	0.3512751088
113	0.3506261432
114	0.3501986895
115	0.3493750263
116	0.3485344089
117	0.3478759627
118	0.3471085944
119	0.346255071
120	0.3453629336
121	0.3442231263
122	0.3429577886
123	0.3421876522
124	0.3410131061
125	0.3398501511
126	0.3393143634
127	0.3375924039
128	0.3369162423
129	0.3363520131
130	0.3355555113
131	0.33455286
132	0.3337090248
133	0.3332122664
134	0.3320938768
135	0.3309286727
136	0.330418178
137	0.3291343291
138	0.3283698326
139	0.3272858012
140	0.3266138609
141	0.3258203346
142	0.3253063799
143	0.3246199766
144	0.3240152995
145	0.322732454
146	0.3220618977
147	0.321233079
148	0.3202907363
149	0.3193467328
150	0.3186495342
151	0.3181738475
152	0.3175422859
153	0.3161821776
154	0.3157009895
155	0.315016074
156	0.3144480387
157	0.3139103827
158	0.3128060408
159	0.3122111902
160	0.3116904192
161	0.3112701278
162	0.3106077718
163	0.3097092678
164	0.3092301903
165	0.3083215484
166	0.3079636762
167	0.3073558159
168	0.3063985604
169	0.3052351556
170	0.304510069
171	0.303852038
172	0.3035220192
173	0.3026925085
174	0.3017740055
175	0.3012055551
176	0.3002215189
177	0.2988196825
178	0.2984874492
179	0.2977138528
180	0.29724692
181	0.2966222785
182	0.2961935792
183	0.2949455417
184	0.2945268073
185	0.293644012
186	0.2927621854
187	0.2919649224
188	0.2909756961
189	0.2903169731
190	0.2895068214
191	0.2890812707
192	0.2882843364
193	0.2876342289
194	0.2867984901
195	0.2862136045
196	0.2856364001
197	0.2847728772
198	0.2842790599
199	0.2839816692
