iter	Passed	Remaining
0	4	935
1	8	877
2	20	1373
3	24	1196
4	32	1254
5	36	1167
6	39	1094
7	46	1111
8	50	1069
9	54	1035
10	60	1039
11	65	1022
12	69	995
13	72	968
14	79	978
15	83	956
16	87	939
17	92	935
18	96	920
19	100	903
20	105	895
21	111	898
22	114	883
23	119	872
24	122	858
25	127	852
26	130	839
27	136	836
28	143	848
29	147	837
30	152	829
31	157	825
32	161	815
33	164	805
34	170	801
35	175	800
36	182	802
37	187	797
38	192	795
39	196	785
40	200	775
41	206	775
42	212	777
43	217	769
44	224	772
45	228	764
46	232	756
47	237	752
48	243	749
49	247	741
50	251	734
51	257	733
52	261	725
53	266	720
54	272	717
55	273	704
56	277	695
57	280	687
58	285	681
59	291	679
60	295	672
61	299	665
62	306	665
63	308	654
64	312	648
65	317	645
66	322	640
67	325	632
68	329	625
69	335	623
70	339	616
71	343	610
72	347	604
73	353	602
74	357	596
75	362	590
76	367	587
77	372	582
78	375	575
79	379	569
80	385	566
81	389	560
82	392	553
83	398	550
84	403	545
85	406	539
86	411	534
87	416	530
88	419	523
89	423	517
90	428	512
91	433	509
92	441	508
93	449	507
94	453	501
95	458	496
96	466	495
97	471	490
98	475	484
99	483	483
100	489	479
101	493	474
102	504	475
103	508	469
104	516	467
105	520	461
106	524	456
107	540	460
108	548	457
109	552	452
110	559	448
111	565	444
112	572	440
113	581	438
114	584	432
115	588	425
116	594	422
117	599	416
118	604	411
119	610	406
120	616	402
121	621	397
122	627	392
123	631	387
124	645	387
125	660	387
126	667	383
127	676	380
128	681	375
129	691	372
130	699	368
131	711	366
132	717	361
133	735	362
134	744	358
135	749	352
136	760	349
137	774	347
138	782	343
139	808	346
140	812	340
141	817	333
142	827	329
143	833	324
144	838	318
145	843	312
146	847	305
147	852	299
148	856	293
149	861	287
150	865	281
151	872	275
152	876	269
153	880	263
154	889	258
155	894	252
156	898	246
157	906	241
158	910	234
159	914	228
160	923	223
161	927	217
162	933	211
163	937	205
164	942	199
165	950	194
166	955	188
167	959	182
168	967	177
169	974	172
170	979	166
171	985	160
172	988	154
173	992	148
174	998	142
175	1003	136
176	1007	130
177	1011	125
178	1018	119
179	1022	113
180	1028	107
181	1035	102
182	1042	96
183	1053	91
184	1057	85
185	1060	79
186	1065	74
187	1068	68
188	1073	62
189	1081	56
190	1088	51
191	1092	45
192	1097	39
193	1101	34
194	1105	28
195	1113	22
196	1117	17
197	1121	11
198	1125	5
199	1130	0
